elevation,timestamp,ActivityName,ActivityType,rec_id,year,trajID,distance,time_diff,speed,speed_kmh,acceleration,avg_speed_10s,avg_speed_60s,max_speed_10s,avg_acc_10s,avg_acc_60s,max_acc_10s,el_change,d_direct10,d_sinu10,sinuosity,kmeans4,kmeans5,geometry,c_ward_4,c_single_4,c_compl_4,x,y
413.9,2024-05-20T13:18:51Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,3.2257317104041214,1,3.2257317104041214,11.612634157454837,2.9908928855764407,7.643586890887454,9.86598212118831,24.375478491017397,0.2783658044570437,0.09332757032082832,3.545234537100711,0,19.302293527714024,23.120565570503807,1.1978144222761689,2,3,"c(2681556.50744136, 1248030.97187542)",1,1,1,2681556.5074413577,1248030.9718754163
413.9,2024-05-20T13:18:52Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,6.770966247504832,1,6.770966247504832,24.375478491017397,3.545234537100711,8.259573498343165,9.942049978879153,24.375478491017397,0.17110739095991964,0.021129960469678456,3.545234537100711,0,22.393108579956785,25.015221296350877,1.117094627886592,2,3,"c(2681554.73184057, 1248028.27881268)",1,1,1,2681554.731840568,1248028.2788126797
413.9,2024-05-20T13:18:53Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,5.624751768782567,1,5.624751768782567,20.24910636761724,-1.146214478722265,8.808968021502617,9.991603208697816,24.375478491017397,0.15260958976651434,0.01376478606073963,3.545234537100711,0,24.15982041702691,26.57430189143021,1.0999378899646814,2,3,"c(2681551.10971044, 1248022.55813464)",1,1,1,2681551.1097104396,1248022.558134638
414,2024-05-20T13:18:54Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,2.739177586617732,1,2.739177586617732,9.861039311823836,-2.8855741821648353,10.651798015638692,10.28517746013578,24.375478491017397,0.5118972205933542,0.08154840317721247,4.071788831447562,0.10000000000002274,25.122678852159726,32.31232178097703,1.2861813810193745,4,5,"c(2681548.83916793, 1248017.41202259)",4,1,1,2681548.839167931,1248017.4120225932
414,2024-05-20T13:18:55Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0.32189379429780607,1,0.32189379429780607,1.1588176594721018,-2.417283792319926,12.256298665614683,10.595281115574513,24.375478491017397,0.4456946249933308,0.08613990428853724,4.071788831447562,0.10000000000002274,30.719196197459105,37.2149626534394,1.2114562638366684,4,5,"c(2681547.89267915, 1248014.84156488)",4,1,1,2681547.89267915,1248014.8415648832
414,2024-05-20T13:18:56Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,3.4040131372912965,1,3.4040131372912965,12.254447294248667,3.0821193429934906,12.910832220398328,10.911772780370866,24.375478491017397,0.18181487632879076,0.0879143513323198,4.071788831447562,0.10000000000002274,30.04748175111055,36.22403340747966,1.2055597107115583,2,3,"c(2681547.59215465, 1248014.72623649)",1,1,1,2681547.5921546468,1248014.7262364929
414,2024-05-20T13:18:57Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,2.117020118878085,1,2.117020118878085,7.621272427961106,-1.2869930184132117,12.995902315352215,11.226141455129097,24.375478491017397,0.023630581931634878,0.0873246318772867,4.071788831447562,0.10000000000002274,24.810056706625907,32.93873527162693,1.327636436350028,4,5,"c(2681546.95842853, 1248011.38173404)",1,1,1,2681546.958428526,1248011.3817340422
414,2024-05-20T13:18:58Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,1.9010698804626733,1,1.9010698804626733,6.843851569665624,-0.2159502384154115,12.333562866445208,11.559689109265097,21.502291362876846,-0.18398318025194607,0.0926521261488889,4.071788831447562,0.10000000000002274,22.10777092313715,32.06113476757779,1.450220145624172,4,5,"c(2681545.54508721, 1248009.80558668)",1,1,1,2681545.545087207,1248009.8055866822
414,2024-05-20T13:18:59Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,5.972858711910235,1,5.972858711910235,21.502291362876846,4.071788831447562,11.979439734191097,11.863951900353701,21.502291362876846,-0.09836753673725322,0.08451744196905679,4.071788831447562,0.10000000000002274,23.958137834055727,33.86466604563284,1.4134932472713009,2,3,"c(2681543.66030527, 1248009.55726481)",1,1,1,2681543.6603052733,1248009.55726481
413.9,2024-05-20T13:19:00Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,5.137479697290054,1,5.137479697290054,18.494926910244196,-0.8353790146201812,12.533032781352388,12.1649464550284,21.502291362876846,0.15377584643369216,0.08360959852074946,4.071788831447562,0,27.42880006404586,37.97348414872338,1.3844384027028465,2,3,"c(2681539.18302582, 1248005.60391056)",1,1,1,2681539.183025817,1248005.6039105554
