"id1","teilplan","kategorie","unterkategorie","stand","beschriftung","bemerkungen","oeffentlicheauflage_behoerde","oeffentlicheauflage_datum","oeffentlicheauflage_nummer","festsetzung_behoerde","festsetzung_behoerde_gewalt","festsetzung_datum","festsetzung_nummer","genehmigung_behoerde","genehmigung_datum","genehmigung_nummer","rechtsstatus","objectid","geometry"
"133","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","36","LINESTRING (2678607.2 1249196.6,2678513.2 1249272.5,2678426.5 1249302.1,2678335.5 1249321.1,2678201 1249397.5)"
"134","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","37","LINESTRING (2678659.5 1249328.5,2678655 1249317.1)"
"136","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","39","LINESTRING (2678955.5 1249023.1,2679003.2 1248986,2679020.8 1248989.1,2679043 1249011.4,2679106.5 1248992.2)"
"137","Velo","Veloroute","","geplant","29","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","40","LINESTRING (2679106.5 1248992.2,2679228.8 1248906.6)"
"131","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","99","LINESTRING (2678947.2 1247524.8,2678908.2 1247556.4,2678844 1247572.5)"
"3","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","103","LINESTRING (2678844 1247572.5,2678830.2 1247556.1,2678797.5 1247531.5,2678768.2 1247519.1,2678751.5 1247506,2678725.2 1247482.2,2678669.8 1247453.1,2678626.8 1247427.5)"
"7","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","107","LINESTRING (2679003.5 1247907.5,2679003.2 1247907,2679000.2 1247861.4,2678999 1247833.4,2679006 1247807,2679004.8 1247773.2,2679001.5 1247757.9,2678995.2 1247743.5,2678974.8 1247730.2)"
"8","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","108","LINESTRING (2678724.2 1248030.2,2678741.5 1247990.5,2678766.2 1247948.6,2678797.5 1247908.8,2678840 1247861.4,2678889.2 1247780.4,2678943.5 1247803.4)"
"9","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","109","LINESTRING (2678692.2 1248242.5,2678829.8 1248380.2,2678880.8 1248419.5,2678912.8 1248440.8)"
"10","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","110","LINESTRING (2678500 1248533.8,2678499 1248533.1,2678468.2 1248503,2678441.5 1248476.1,2678404.8 1248431.9,2678381.5 1248403.9,2678432.8 1248346.5,2678429 1248325.9,2678429.8 1248302.9,2678430 1248280.4,2678443.2 1248268.6,2678459.5 1248269.1,2678503.5 1248240.6,2678557.8 1248171.6,2678598 1248142,2678616 1248156.6,2678647.2 1248177.5,2678694.8 1248207.4,2678692.2 1248242.4,2678692.2 1248242.5)"
"11","Velo","Veloroute","","geplant","33","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","111","LINESTRING (2678815.2 1248522.4,2678831.5 1248499,2678849.2 1248471.6,2678863 1248448.4,2678880.8 1248419.5)"
"12","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","112","LINESTRING (2678690.5 1248700.6,2678682.8 1248686.9,2678674 1248659.6)"
"13","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","113","LINESTRING (2678437.2 1248615.9,2678499 1248533.1)"
"14","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","114","LINESTRING (2678399 1248666.8,2678437.2 1248615.9)"
"15","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","115","LINESTRING (2678135.2 1248426.8,2678178.5 1248384.8,2678208.2 1248334.6,2678264.5 1248266,2678335.5 1248188.8,2678359.2 1248178.9,2678388.5 1248144.5,2678521.2 1247994.2,2678638.5 1247860.8,2678679 1247807.1,2678705.8 1247761.6,2678726.8 1247717.4,2678799.2 1247613.2,2678822.5 1247591,2678837.5 1247578.1)"
